timestamp,temperature,sp_cond,ph,battery,predicted_chlorophyll,actual_chlorophyll,alarm,inference_ms,db_write_ms,cpu_percent,ram_mb
2026-10-11T18:34:25Z,19.68,65.0,7.61,13.32,0.401,4.9,False,9.55,2.89,18.0,6790.1
2026-10-11T18:49:25Z,19.68,65.09,7.67,13.32,0.747,5.83,False,0.95,0.23,0.2,6774.2
2026-10-11T19:04:25Z,19.68,65.09,7.72,13.33,0.78,4.57,False,2.16,0.42,0.5,6758.5
2026-10-11T19:19:25Z,19.67,65.12,7.74,13.32,0.718,6.2,False,1.55,0.41,0.9,6741.7
2026-10-11T19:34:25Z,19.71,65.19,7.71,13.37,0.723,7.05,False,0.95,0.23,1.6,6733.1
2026-10-11T19:49:25Z,19.77,65.25,7.7,13.45,0.633,5.68,False,0.9,0.23,0.9,6727.2
2026-10-11T20:04:25Z,19.8,65.36,7.69,13.41,0.542,6.18,False,1.23,0.23,0.1,6722.5
2026-10-11T20:19:25Z,19.72,65.37,7.69,13.49,0.615,3.75,False,1.58,0.48,0.5,6720.8
2026-10-11T20:34:25Z,19.66,65.49,7.67,13.54,0.69,21.97,False,1.51,0.4,0.0,6718.1
2026-10-11T20:49:25Z,19.66,65.77,7.66,13.29,0.661,10.45,False,1.52,0.41,0.1,6715.4
2026-10-11T21:04:25Z,19.64,65.88,7.66,13.21,0.716,8.72,False,1.5,10.27,2.4,6714.1
2026-10-11T21:19:25Z,19.62,65.95,7.64,13.15,0.766,13.39,False,1.55,6.64,0.5,6713.5
2026-10-11T21:34:25Z,19.6,65.79,7.62,13.12,0.672,8.82,False,1.52,8.04,0.2,6713.2
2026-10-11T21:49:25Z,19.53,65.91,7.6,13.09,0.737,7.18,False,1.5,5.98,0.2,6712.4
2026-10-11T22:04:25Z,19.49,65.94,7.58,13.07,0.65,6.41,False,2.29,5.96,0.4,6712.2
2026-10-11T22:19:25Z,19.46,65.71,7.56,13.06,0.696,9.03,False,1.5,11.49,2.1,6713.2
