sample_index,actual_chlorophyll_ug_L,predicted_chlorophyll_ug_L,residual_error_ug_L
0,0.81,0.0,-0.81
1,0.82,0.0,-0.82
2,0.75,0.0,-0.75
3,1.02,0.0,-1.02
4,1.06,0.0,-1.06
5,1.01,0.0,-1.01
6,0.59,0.0,-0.59
7,1.53,0.0,-1.53
8,0.84,0.0,-0.84
9,0.91,0.0,-0.91
10,1.34,0.0,-1.34
11,1.28,0.0,-1.28
12,1.16,0.0,-1.16
13,1.71,0.0,-1.71
14,1.94,0.0,-1.94
15,1.12,0.0,-1.12
16,0.98,0.0,-0.98
17,1.41,0.0,-1.41
18,0.92,0.0,-0.92
19,1.12,0.0,-1.12
20,1.75,0.0,-1.75
21,0.78,0.0,-0.78
22,1.22,0.0,-1.22
23,1.49,0.0,-1.49
24,1.12,0.0,-1.12
25,1.34,0.0,-1.34
26,1.12,0.0,-1.12
27,1.37,0.0,-1.37
28,1.26,0.0,-1.26
29,1.31,0.0,-1.31
30,1.22,0.0,-1.22
31,1.19,0.0,-1.19
32,1.09,0.0,-1.09
33,1.1,0.0,-1.1
34,1.15,0.0,-1.15
35,1.06,0.0,-1.06
36,1.03,0.0,-1.03
37,1.04,0.0,-1.04
38,0.9,0.0,-0.9
39,1.25,0.0,-1.25
40,1.17,0.0,-1.17
41,1.18,0.0,-1.18
42,1.29,0.0,-1.29
43,0.92,0.0,-0.92
44,1.17,0.0,-1.17
45,1.2,0.0,-1.2
46,0.89,0.0,-0.89
47,1.25,0.0,-1.25
48,1.41,0.0,-1.41
49,1.17,0.0,-1.17
50,0.86,0.0,-0.86
51,1.07,0.0,-1.07
52,1.42,0.0,-1.42
53,0.93,0.0,-0.93
54,0.85,0.0,-0.85
55,0.86,0.0,-0.86
56,0.7,0.0,-0.7
57,0.67,0.0,-0.67
58,0.45,0.0,-0.45
59,0.52,0.0,-0.52
60,0.5,0.0,-0.5
61,0.56,0.0,-0.56
62,0.5,0.0,-0.5
63,0.33,0.0,-0.33
64,0.41,0.0,-0.41
65,0.62,0.0,-0.62
66,0.44,0.0,-0.44
67,0.33,0.0,-0.33
68,0.3,0.0,-0.3
69,0.45,0.0,-0.45
70,0.3,0.0,-0.3
71,0.27,0.0,-0.27
72,0.08,0.0,-0.08
73,0.23,0.0,-0.23
74,0.27,0.0,-0.27
75,0.1,0.0,-0.1
76,0.36,0.0,-0.36
77,0.24,0.0,-0.24
78,0.31,0.0,-0.31
79,0.04,0.0,-0.04
80,0.31,0.0,-0.31
81,0.1,0.0,-0.1
82,0.34,0.0,-0.34
83,0.16,0.0,-0.16
84,0.26,0.0,-0.26
85,0.23,0.0,-0.23
86,0.49,0.0,-0.49
87,0.21,0.0,-0.21
88,0.34,0.0,-0.34
89,0.31,0.0,-0.31
90,0.3,0.0,-0.3
91,0.51,0.0,-0.51
92,0.43,0.0,-0.43
93,0.68,0.0,-0.68
94,0.62,0.0,-0.62
95,0.56,0.0,-0.56
96,0.52,0.0,-0.52
97,1.06,0.0,-1.06
98,0.84,0.0,-0.84
99,0.46,0.0,-0.46
100,1.31,0.0,-1.31
101,0.83,0.0,-0.83
102,0.65,0.0,-0.65
103,0.79,0.0,-0.79
104,0.73,0.0,-0.73
105,7.31,0.0,-7.31
106,0.54,0.0,-0.54
107,0.78,0.0,-0.78
108,0.64,0.0,-0.64
109,0.68,0.0,-0.68
110,1.38,0.0,-1.38
111,0.66,0.0,-0.66
112,0.95,0.0,-0.95
113,0.28,0.0,-0.28
114,0.84,0.0,-0.84
115,0.65,0.0,-0.65
116,0.9,0.0,-0.9
117,0.66,0.0,-0.66
118,0.73,0.0,-0.73
119,0.94,0.0,-0.94
120,0.77,0.0,-0.77
121,0.67,0.0,-0.67
122,0.8,0.0,-0.8
123,0.49,0.0,-0.49
124,0.63,0.0,-0.63
125,0.94,0.0,-0.94
126,0.85,0.0,-0.85
127,0.6,0.0,-0.6
128,1.04,0.0,-1.04
129,0.68,0.0,-0.68
130,0.55,0.0,-0.55
131,0.52,0.0,-0.52
132,0.69,0.0,-0.69
133,0.86,0.0,-0.86
134,0.63,0.0,-0.63
135,0.72,0.0,-0.72
136,0.58,0.0,-0.58
137,0.8,0.0,-0.8
138,0.59,0.0,-0.59
139,0.57,0.0,-0.57
140,1.08,0.0,-1.08
141,0.65,0.0,-0.65
142,0.74,0.0,-0.74
143,1.05,0.0,-1.05
144,0.64,0.0,-0.64
145,0.54,0.0,-0.54
146,0.5,0.0,-0.5
147,0.7,0.0,-0.7
148,0.5,0.0,-0.5
149,0.64,0.0,-0.64
150,0.68,0.0,-0.68
151,0.28,0.0,-0.28
152,0.69,0.0,-0.69
153,0.74,0.0,-0.74
154,0.31,0.0,-0.31
155,0.36,0.0,-0.36
156,0.2,0.0,-0.2
157,0.14,0.0,-0.14
158,0.59,0.0,-0.59
159,0.32,0.0,-0.32
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.71,0.0,-0.71
163,0.18,0.0,-0.18
164,0.54,0.0,-0.54
165,0.77,0.0,-0.77
166,0.39,0.0,-0.39
167,0.29,0.0,-0.29
168,0.0,0.0,0.0
169,0.11,0.0,-0.11
170,0.19,0.0,-0.19
171,0.05,0.0,-0.05
172,0.32,0.0,-0.32
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.28,0.0,-0.28
178,0.41,0.0,-0.41
179,0.2,0.0,-0.2
180,0.17,0.0,-0.17
181,0.11,0.0,-0.11
182,0.16,0.0,-0.16
183,0.2,0.0,-0.2
184,0.08,0.0,-0.08
185,0.18,0.0,-0.18
186,0.07,0.0,-0.07
187,0.12,0.0,-0.12
188,0.28,0.0,-0.28
189,0.31,0.0,-0.31
190,0.33,0.0,-0.33
191,0.48,0.0,-0.48
192,0.59,0.0,-0.59
193,0.73,0.0,-0.73
194,0.51,0.0,-0.51
195,0.91,0.0,-0.91
196,0.86,0.0,-0.86
197,0.66,0.0,-0.66
198,0.66,0.0,-0.66
199,0.71,0.0,-0.71
200,0.78,0.0,-0.78
201,0.68,0.0,-0.68
202,0.85,0.0,-0.85
203,0.57,0.0,-0.57
204,0.82,0.0,-0.82
205,0.63,0.0,-0.63
206,0.73,0.0,-0.73
207,0.82,0.0,-0.82
208,0.8,0.0,-0.8
209,0.74,0.0,-0.74
210,0.75,0.0,-0.75
211,0.75,0.0,-0.75
212,0.6,0.0,-0.6
213,0.5,0.0,-0.5
214,0.58,0.0,-0.58
215,0.42,0.0,-0.42
216,0.34,0.0,-0.34
217,0.19,0.0,-0.19
218,0.5,0.0,-0.5
219,0.61,0.0,-0.61
220,0.83,0.0,-0.83
221,0.54,0.0,-0.54
222,0.36,0.0,-0.36
223,0.7,0.0,-0.7
224,0.37,0.0,-0.37
225,0.59,0.0,-0.59
226,0.58,0.0,-0.58
227,0.65,0.0,-0.65
228,0.5,0.0,-0.5
229,0.69,0.0,-0.69
230,0.6,0.0,-0.6
231,0.68,0.0,-0.68
232,0.83,0.0,-0.83
233,0.52,0.0,-0.52
234,0.37,0.0,-0.37
235,0.53,0.0,-0.53
236,0.84,0.0,-0.84
237,0.57,0.0,-0.57
238,0.75,0.0,-0.75
239,0.52,0.0,-0.52
240,1.61,0.0,-1.61
241,0.55,0.0,-0.55
242,0.83,0.0,-0.83
243,0.5,0.0,-0.5
244,0.36,0.0,-0.36
245,0.54,0.0,-0.54
246,0.55,0.0,-0.55
247,0.34,0.0,-0.34
248,0.05,0.0,-0.05
249,0.04,0.0,-0.04
250,0.09,0.0,-0.09
251,0.0,0.0,0.0
252,0.16,0.0,-0.16
253,0.34,0.0,-0.34
254,0.13,0.0,-0.13
255,0.27,0.0,-0.27
256,0.19,0.0,-0.19
257,0.0,0.0,0.0
258,0.0,0.0,0.0
259,0.0,0.0,0.0
260,0.0,0.0,0.0
261,0.0,0.0,0.0
262,0.0,0.0,0.0
263,0.0,0.0,0.0
264,0.0,0.0,0.0
265,0.0,0.0,0.0
266,0.05,0.0,-0.05
267,0.0,0.0,0.0
268,0.0,0.0,0.0
269,0.0,0.0,0.0
270,0.0,0.0,0.0
271,0.0,0.0,0.0
272,0.0,0.0,0.0
273,0.24,0.0,-0.24
274,0.13,0.0,-0.13
275,0.32,0.0,-0.32
276,0.14,0.0,-0.14
277,0.11,0.0,-0.11
278,0.04,0.0,-0.04
279,0.27,0.0,-0.27
280,0.26,0.035,-0.225
281,0.05,0.0,-0.05
282,0.17,0.0,-0.17
283,0.05,0.0,-0.05
284,0.22,0.183,-0.037
285,0.36,0.0,-0.36
286,0.22,0.0,-0.22
287,0.78,0.0,-0.78
288,0.44,0.0,-0.44
289,0.48,0.0,-0.48
290,0.62,0.0,-0.62
291,0.71,0.0,-0.71
292,0.54,0.0,-0.54
293,0.33,0.0,-0.33
294,0.36,0.0,-0.36
295,1.34,0.0,-1.34
296,0.32,0.0,-0.32
297,1.86,0.0,-1.86
298,1.16,0.0,-1.16
299,0.47,0.0,-0.47
300,1.7,0.0,-1.7
301,0.47,0.0,-0.47
302,0.37,0.0,-0.37
303,0.57,0.0,-0.57
304,0.7,0.0,-0.7
305,0.21,0.0,-0.21
306,0.44,0.0,-0.44
307,0.0,0.0,0.0
308,0.93,0.0,-0.93
309,0.19,0.0,-0.19
310,0.27,0.0,-0.27
311,0.21,0.0,-0.21
312,0.47,0.0,-0.47
313,0.3,0.0,-0.3
314,0.35,0.0,-0.35
315,0.4,0.0,-0.4
316,0.5,0.0,-0.5
317,0.9,0.0,-0.9
318,0.08,0.0,-0.08
319,0.58,0.0,-0.58
320,0.32,0.0,-0.32
321,0.24,0.0,-0.24
322,1.99,0.0,-1.99
323,0.65,0.0,-0.65
324,0.25,0.0,-0.25
325,0.33,0.0,-0.33
326,0.24,0.0,-0.24
327,0.31,0.0,-0.31
328,0.5,0.0,-0.5
329,0.39,0.0,-0.39
330,0.32,0.0,-0.32
331,0.56,0.0,-0.56
332,0.44,0.0,-0.44
333,0.66,0.0,-0.66
334,0.43,0.0,-0.43
335,0.74,0.0,-0.74
336,0.55,0.0,-0.55
337,0.21,0.0,-0.21
338,0.28,0.0,-0.28
339,0.29,0.0,-0.29
340,0.09,0.0,-0.09
341,0.0,0.0,0.0
342,0.78,0.0,-0.78
343,0.0,0.0,0.0
344,0.07,0.0,-0.07
345,0.0,0.0,0.0
346,0.09,0.0,-0.09
347,0.21,0.0,-0.21
348,0.18,0.0,-0.18
349,0.0,0.0,0.0
350,0.0,0.0,0.0
351,0.0,0.0,0.0
352,0.0,0.0,0.0
353,0.0,0.0,0.0
354,0.0,0.0,0.0
355,0.0,0.0,0.0
356,0.0,0.0,0.0
357,0.0,0.0,0.0
358,0.0,0.0,0.0
359,0.0,0.0,0.0
360,0.0,0.0,0.0
361,0.0,0.0,0.0
362,0.0,0.0,0.0
363,0.0,0.0,0.0
364,0.0,0.0,0.0
365,0.0,0.0,0.0
366,0.0,0.0,0.0
367,0.0,0.0,0.0
368,0.11,0.0,-0.11
369,0.0,0.0,0.0
370,0.18,0.0,-0.18
371,0.25,0.0,-0.25
372,0.0,0.0,0.0
373,0.06,0.0,-0.06
374,0.01,0.0,-0.01
375,0.0,0.0,0.0
376,0.1,0.0,-0.1
377,0.25,0.0,-0.25
378,0.24,0.0,-0.24
379,0.54,0.0,-0.54
380,0.25,0.0,-0.25
381,0.35,0.0,-0.35
382,0.49,0.0,-0.49
383,0.5,0.0,-0.5
384,0.39,0.0,-0.39
385,0.4,0.0,-0.4
386,0.44,0.0,-0.44
387,0.33,0.0,-0.33
388,0.57,0.0,-0.57
389,0.49,0.0,-0.49
390,0.49,0.0,-0.49
391,0.39,0.0,-0.39
392,0.3,0.0,-0.3
393,0.46,0.0,-0.46
394,0.37,0.0,-0.37
395,0.49,0.0,-0.49
396,0.3,0.0,-0.3
397,0.38,0.0,-0.38
398,0.44,0.0,-0.44
399,0.39,0.0,-0.39
400,0.35,0.0,-0.35
401,0.36,0.0,-0.36
402,0.6,0.0,-0.6
403,0.69,0.0,-0.69
404,0.52,0.0,-0.52
405,0.72,0.0,-0.72
406,0.37,0.0,-0.37
407,0.67,0.0,-0.67
408,0.4,0.0,-0.4
409,0.45,0.0,-0.45
410,0.5,0.0,-0.5
411,0.37,0.0,-0.37
412,0.42,0.0,-0.42
413,0.38,0.0,-0.38
414,0.35,0.0,-0.35
415,0.32,0.0,-0.32
416,0.33,0.0,-0.33
417,0.23,0.0,-0.23
418,0.52,0.0,-0.52
419,0.28,0.0,-0.28
420,0.18,0.0,-0.18
421,0.11,0.0,-0.11
422,0.36,0.0,-0.36
423,0.19,0.0,-0.19
424,0.39,0.0,-0.39
425,0.48,0.0,-0.48
426,0.37,0.0,-0.37
427,0.79,0.0,-0.79
428,0.49,0.0,-0.49
429,0.39,0.0,-0.39
430,0.4,0.0,-0.4
431,0.68,0.0,-0.68
432,0.66,0.0,-0.66
433,0.33,0.0,-0.33
434,0.23,0.0,-0.23
435,0.25,0.0,-0.25
436,0.13,0.0,-0.13
437,0.01,0.0,-0.01
438,0.13,0.0,-0.13
439,0.16,0.0,-0.16
440,0.16,0.0,-0.16
441,0.05,0.0,-0.05
442,0.39,0.0,-0.39
443,0.0,0.0,0.0
444,0.0,0.0,0.0
445,0.26,0.0,-0.26
446,0.0,0.0,0.0
447,0.0,0.0,0.0
448,0.0,0.0,0.0
449,0.0,0.0,0.0
450,0.0,0.0,0.0
451,0.0,0.0,0.0
452,0.0,0.0,0.0
453,0.0,0.0,0.0
454,0.0,0.0,0.0
455,0.0,0.0,0.0
456,0.0,0.0,0.0
457,0.0,0.0,0.0
458,0.0,0.037,0.037
459,0.0,0.0,0.0
460,0.0,0.0,0.0
461,0.0,0.0,0.0
462,0.0,0.0,0.0
463,0.0,0.0,0.0
464,0.03,0.0,-0.03
465,0.0,0.0,0.0
466,0.29,0.0,-0.29
467,0.1,0.0,-0.1
468,0.16,0.0,-0.16
469,0.14,0.0,-0.14
470,0.36,0.0,-0.36
471,0.41,0.0,-0.41
472,0.2,0.0,-0.2
473,0.0,0.0,0.0
474,0.12,0.0,-0.12
475,0.16,0.0,-0.16
476,0.24,0.0,-0.24
477,0.27,0.0,-0.27
478,0.68,0.0,-0.68
479,0.35,0.0,-0.35
480,0.42,0.0,-0.42
481,1.1,0.0,-1.1
482,0.72,0.0,-0.72
483,0.28,0.0,-0.28
