sample_id,inference_ms,db_write_ms
0,1.13,4.62
1,0.72,0.21
2,0.73,0.21
3,0.73,0.21
4,0.72,0.21
5,0.84,0.29
6,0.8,0.21
7,0.8,0.23
8,0.8,0.22
9,0.75,0.21
10,0.82,0.26
11,0.71,0.21
12,0.73,0.21
13,0.73,0.21
14,0.75,0.21
15,0.76,0.21
16,0.74,0.21
17,0.78,0.21
18,0.75,0.21
19,0.74,0.21
20,0.74,0.21
21,0.77,0.22
22,0.76,0.21
23,0.84,0.21
24,0.78,0.22
25,0.78,0.21
26,0.78,0.22
27,0.79,0.21
28,0.8,0.22
29,0.79,0.21
30,0.86,0.22
31,0.85,0.21
32,0.8,0.22
33,0.8,0.22
34,0.8,0.26
35,0.79,0.22
36,0.8,0.22
37,0.83,0.22
38,0.8,0.22
39,0.8,0.22
40,0.85,0.22
41,0.83,0.22
42,0.8,0.22
43,0.76,0.21
44,0.78,0.21
45,0.8,0.21
46,0.83,0.21
47,0.84,0.21
48,0.81,0.22
49,0.81,0.21
50,0.84,0.22
51,0.79,0.22
52,0.76,0.21
53,0.76,0.21
54,0.79,0.21
55,0.82,0.22
56,0.76,0.22
57,0.77,0.21
58,0.77,0.21
59,0.84,0.22
60,0.8,0.22
61,0.8,0.22
62,0.75,0.21
63,0.75,0.22
64,0.75,0.23
65,0.75,0.21
66,0.75,0.22
67,0.7,0.23
68,0.69,0.2
69,0.72,0.22
70,0.74,0.21
71,0.67,0.2
72,0.72,0.2
73,0.74,0.25
74,0.74,0.21
75,0.76,0.21
76,0.82,0.21
77,0.77,0.22
78,0.79,0.22
79,0.76,0.21
80,0.77,0.22
81,0.78,0.21
82,0.76,0.21
83,0.77,0.21
84,0.83,0.22
85,0.82,0.21
86,0.78,0.21
87,0.8,0.21
88,0.77,0.21
89,0.78,0.21
90,0.87,0.21
91,0.78,0.21
92,0.76,0.21
93,0.77,0.21
94,0.77,0.21
95,0.78,0.21
96,0.77,0.21
97,0.77,0.21
98,0.77,0.21
99,0.78,0.21
100,0.79,0.21
101,0.8,0.22
102,0.83,0.21
103,0.79,0.21
104,0.84,0.21
105,0.8,0.22
106,0.78,0.22
107,0.79,0.21
108,0.79,0.23
109,0.77,0.22
