sample_index,elapsed_hours,ram_mb,cpu_percent,ram_linear_trend_mb
0,0.0,6803.54,28.8,6741.09
1,0.25,6803.54,0.0,6741.09
2,0.5,6803.52,0.0,6741.09
3,0.75,6803.52,0.0,6741.09
4,1.0,6803.52,50.0,6741.09
5,1.25,6803.52,0.0,6741.09
6,1.5,6803.52,100.0,6741.09
7,1.75,6803.52,0.0,6741.09
8,2.0,6803.52,100.0,6741.1
9,2.25,6803.38,0.0,6741.1
10,2.5,6803.11,0.0,6741.1
11,2.75,6803.11,100.0,6741.1
12,3.0,6803.11,0.0,6741.1
13,3.25,6803.11,100.0,6741.1
14,3.5,6803.04,0.0,6741.1
15,3.75,6803.04,0.0,6741.1
16,4.0,6803.04,50.0,6741.1
17,4.25,6803.04,100.0,6741.1
18,4.5,6803.04,0.0,6741.1
19,4.75,6803.04,0.0,6741.1
20,5.0,6803.04,0.0,6741.1
21,5.25,6803.04,0.0,6741.1
22,5.5,6802.91,33.3,6741.1
23,5.75,6802.88,0.0,6741.1
24,6.0,6802.86,25.0,6741.11
25,6.25,6802.84,0.0,6741.11
26,6.5,6802.82,25.0,6741.11
27,6.75,6802.81,33.3,6741.11
28,7.0,6802.79,0.0,6741.11
29,7.25,6802.78,0.0,6741.11
30,7.5,6802.76,33.3,6741.11
31,7.75,6802.75,33.3,6741.11
32,8.0,6802.73,0.0,6741.11
33,8.25,6802.71,0.0,6741.11
34,8.5,6802.7,20.0,6741.11
35,8.75,6802.6,0.0,6741.11
36,9.0,6802.59,20.0,6741.11
37,9.25,6802.57,0.0,6741.11
38,9.5,6802.55,0.0,6741.11
39,9.75,6802.54,25.0,6741.11
40,10.0,6802.52,0.0,6741.11
41,10.25,6802.5,0.0,6741.12
42,10.5,6802.48,40.0,6741.12
43,10.75,6802.47,0.0,6741.12
44,11.0,6802.45,25.0,6741.12
45,11.25,6802.43,0.0,6741.12
46,11.5,6802.42,0.0,6741.12
47,11.75,6802.4,33.3,6741.12
48,12.0,6802.39,20.0,6741.12
49,12.25,6802.37,0.0,6741.12
50,12.5,6802.35,33.3,6741.12
51,12.75,6802.33,0.0,6741.12
52,13.0,6802.32,0.0,6741.12
53,13.25,6802.3,25.0,6741.12
54,13.5,6802.29,20.0,6741.12
55,13.75,6802.27,60.0,6741.12
56,14.0,6802.25,0.0,6741.12
57,14.25,6802.23,25.0,6741.13
58,14.5,6802.22,0.0,6741.13
59,14.75,6802.2,0.0,6741.13
60,15.0,6802.19,20.0,6741.13
61,15.25,6802.17,0.0,6741.13
62,15.5,6802.15,25.0,6741.13
63,15.75,6802.14,0.0,6741.13
64,16.0,6802.12,20.0,6741.13
65,16.25,6802.11,25.0,6741.13
66,16.5,6802.09,0.0,6741.13
67,16.75,6802.07,25.0,6741.13
68,17.0,6802.05,33.3,6741.13
69,17.25,6802.03,0.0,6741.13
70,17.5,6802.02,0.0,6741.13
71,17.75,6802.0,33.3,6741.13
72,18.0,6801.75,33.3,6741.13
73,18.25,6801.73,0.0,6741.13
74,18.5,6801.71,0.0,6741.14
75,18.75,6801.68,33.3,6741.14
76,19.0,6801.66,20.0,6741.14
77,19.25,6801.64,33.3,6741.14
78,19.5,6801.61,0.0,6741.14
79,19.75,6794.98,33.3,6741.14
80,20.0,6794.22,20.0,6741.14
81,20.25,6794.05,50.0,6741.14
82,20.5,6794.03,20.0,6741.14
83,20.75,6794.0,0.0,6741.14
84,21.0,6793.98,0.0,6741.14
85,21.25,6793.96,0.0,6741.14
86,21.5,6793.93,40.0,6741.14
87,21.75,6793.91,20.0,6741.14
88,22.0,6793.88,0.0,6741.14
89,22.25,6793.87,50.0,6741.14
90,22.5,6793.85,33.3,6741.15
91,22.75,6793.84,0.0,6741.15
92,23.0,6793.82,25.0,6741.15
93,23.25,6793.8,33.3,6741.15
94,23.5,6793.79,20.0,6741.15
95,23.75,6793.77,33.3,6741.15
96,24.0,6793.75,5.6,6741.15
97,24.25,6793.75,0.0,6741.15
98,24.5,6793.75,50.0,6741.15
99,24.75,6793.75,0.0,6741.15
100,25.0,6793.75,0.0,6741.15
101,25.25,6793.75,0.0,6741.15
102,25.5,6793.65,50.0,6741.15
103,25.75,6793.63,0.0,6741.15
104,26.0,6793.61,0.0,6741.15
105,26.25,6793.59,33.3,6741.15
106,26.5,6793.57,20.0,6741.15
107,26.75,6793.55,25.0,6741.16
108,27.0,6793.53,0.0,6741.16
109,27.25,6793.5,33.3,6741.16
110,27.5,6793.48,0.0,6741.16
111,27.75,6793.46,25.0,6741.16
112,28.0,6793.43,0.0,6741.16
113,28.25,6793.42,25.0,6741.16
114,28.5,6793.4,0.0,6741.16
115,28.75,6793.37,33.3,6741.16
116,29.0,6793.36,25.0,6741.16
117,29.25,6793.34,0.0,6741.16
118,29.5,6793.32,0.0,6741.16
119,29.75,6793.08,33.3,6741.16
120,30.0,6793.31,25.0,6741.16
121,30.25,6793.29,25.0,6741.16
122,30.5,6793.28,0.0,6741.16
123,30.75,6793.21,0.0,6741.16
124,31.0,6793.18,20.0,6741.17
125,31.25,6793.16,33.3,6741.17
126,31.5,6793.15,0.0,6741.17
127,31.75,6793.12,25.0,6741.17
128,32.0,6793.1,0.0,6741.17
129,32.25,6793.08,33.3,6741.17
130,32.5,6793.06,20.0,6741.17
131,32.75,6793.04,0.0,6741.17
132,33.0,6793.01,25.0,6741.17
133,33.25,6792.99,25.0,6741.17
134,33.5,6792.97,25.0,6741.17
135,33.75,6792.95,0.0,6741.17
136,34.0,6792.93,0.0,6741.17
137,34.25,6792.91,40.0,6741.17
138,34.5,6792.9,0.0,6741.17
139,34.75,6792.88,0.0,6741.17
140,35.0,6792.86,40.0,6741.18
141,35.25,6792.84,0.0,6741.18
142,35.5,6807.95,20.5,6741.18
143,35.75,6807.93,0.0,6741.18
144,36.0,6807.9,0.0,6741.18
145,36.25,6807.89,33.3,6741.18
146,36.5,6807.87,0.0,6741.18
147,36.75,6807.86,20.0,6741.18
148,37.0,6807.82,50.0,6741.18
149,37.25,6807.8,0.0,6741.18
150,37.5,6807.79,0.0,6741.18
151,37.75,6807.77,50.0,6741.18
152,38.0,6807.73,33.3,6741.18
153,38.25,6807.7,33.3,6741.18
154,38.5,6807.69,0.0,6741.18
155,38.75,6807.66,25.0,6741.18
156,39.0,6807.64,25.0,6741.18
157,39.25,6807.62,0.0,6741.19
158,39.5,6807.59,25.0,6741.19
159,39.75,6807.58,0.0,6741.19
160,40.0,6807.56,0.0,6741.19
161,40.25,6799.0,25.0,6741.19
162,40.5,6798.75,0.0,6741.19
163,40.75,6798.74,25.0,6741.19
164,41.0,6798.72,0.0,6741.19
165,41.25,6798.7,33.3,6741.19
166,41.5,6798.26,20.0,6741.19
167,41.75,6797.93,25.0,6741.19
168,42.0,6797.9,0.0,6741.19
169,42.25,6797.87,0.0,6741.19
170,42.5,6797.85,33.3,6741.19
171,42.75,6797.82,25.0,6741.19
172,43.0,6797.81,0.0,6741.19
173,43.25,6797.71,25.0,6741.2
174,43.5,6797.7,40.0,6741.2
175,43.75,6797.68,0.0,6741.2
176,44.0,6797.66,20.0,6741.2
177,44.25,6797.64,20.0,6741.2
178,44.5,6797.63,0.0,6741.2
179,44.75,6797.61,25.0,6741.2
180,45.0,6797.59,20.0,6741.2
181,45.25,6797.57,60.0,6741.2
182,45.5,6797.77,0.0,6741.2
183,45.75,6797.75,0.0,6741.2
184,46.0,6797.73,33.3,6741.2
185,46.25,6797.65,4.0,6741.2
186,46.5,6797.63,0.0,6741.2
187,46.75,6797.61,0.0,6741.2
188,47.0,6797.58,0.0,6741.2
189,47.25,6797.56,40.0,6741.2
190,47.5,6797.54,25.0,6741.21
191,47.75,6797.51,25.0,6741.21
192,48.0,6797.51,25.0,6741.21
193,48.25,6797.5,0.0,6741.21
194,48.5,6797.45,33.3,6741.21
195,48.75,6797.43,25.0,6741.21
196,49.0,6797.41,0.0,6741.21
197,49.25,6797.39,20.0,6741.21
198,49.5,6797.37,0.0,6741.21
199,49.75,6797.36,0.0,6741.21
200,50.0,6797.3,0.0,6741.21
201,50.25,6797.29,33.3,6741.21
202,50.5,6797.27,20.0,6741.21
203,50.75,6797.25,0.0,6741.21
204,51.0,6797.22,20.0,6741.21
205,51.25,6797.2,33.3,6741.21
206,51.5,6797.18,0.0,6741.22
207,51.75,6797.16,20.0,6741.22
208,52.0,6797.14,0.0,6741.22
209,52.25,6797.11,25.0,6741.22
210,52.5,6797.1,0.0,6741.22
211,52.75,6797.08,25.0,6741.22
212,53.0,6797.06,0.0,6741.22
213,53.25,6797.05,0.0,6741.22
214,53.5,6797.03,20.0,6741.22
215,53.75,6797.02,33.3,6741.22
216,54.0,6797.0,0.0,6741.22
217,54.25,6796.98,20.0,6741.22
218,54.5,6796.96,0.0,6741.22
219,54.75,6796.95,0.0,6741.22
220,55.0,6796.93,0.0,6741.22
221,55.25,6796.92,40.0,6741.22
222,55.5,6796.9,0.0,6741.22
223,55.75,6796.89,0.0,6741.23
224,56.0,6796.87,33.3,6741.23
225,56.25,6796.85,33.3,6741.23
226,56.5,6796.84,0.0,6741.23
227,56.75,6796.82,25.0,6741.23
228,57.0,6796.8,25.0,6741.23
229,57.25,6796.79,25.0,6741.23
