sample_id,inference_ms,db_write_ms
0,205.58,2.71
1,27.74,2.11
2,28.15,2.88
3,31.35,4.09
4,29.58,2.03
5,29.32,2.03
6,29.45,4.19
7,29.08,3.03
8,29.77,1.84
9,29.19,2.76
10,27.56,1.85
11,28.6,1.85
12,28.39,2.45
13,27.74,1.04
14,29.3,1.12
15,293.73,1.78
16,30.22,1.48
17,32.77,2.52
18,30.84,1.55
19,28.95,1.27
20,28.78,4.0
21,28.4,2.03
22,30.54,2.29
23,31.73,1.26
24,29.44,1.79
25,28.17,2.33
26,30.25,1.4
27,28.56,2.59
28,28.95,1.75
29,26.86,1.98
30,29.61,1.75
31,33.42,4.67
32,27.59,2.21
33,26.33,1.46
34,27.99,3.09
35,28.45,1.37
36,25.89,2.42
37,26.57,1.02
38,26.87,1.31
39,26.72,2.41
40,27.44,2.99
41,26.16,2.38
42,28.17,2.12
43,26.39,1.97
44,27.86,1.23
45,28.03,1.67
46,28.26,1.85
47,27.41,3.4
48,27.31,2.55
49,26.31,1.1
50,26.3,2.53
51,27.5,1.91
52,27.58,1.7
53,27.67,2.84
54,27.89,3.36
55,29.61,3.23
56,32.38,1.59
57,27.26,1.97
58,28.11,2.54
59,26.5,3.29
60,27.37,1.84
61,26.45,2.07
62,25.87,1.43
63,25.62,1.38
64,26.33,3.08
65,27.39,3.83
66,26.73,2.16
67,29.02,3.32
68,25.81,2.57
69,26.11,1.72
70,26.3,2.57
71,28.19,4.12
72,27.3,2.19
73,26.24,4.16
74,27.07,0.78
75,26.55,3.09
76,26.15,2.3
77,27.27,1.97
78,28.18,2.31
79,26.2,1.0
80,27.27,2.04
81,27.76,2.57
82,26.29,4.02
83,27.33,1.81
84,27.31,1.61
85,26.29,1.82
86,26.39,3.21
87,26.74,2.54
88,26.67,1.8
89,26.69,2.73
90,26.29,2.31
91,27.71,3.28
92,26.91,1.68
93,26.47,1.95
94,27.06,1.9
95,30.4,1.24
96,26.04,2.51
97,26.46,2.47
98,27.12,2.23
99,25.9,2.03
100,25.87,1.26
101,28.42,1.88
102,28.07,1.94
103,27.26,1.61
104,26.96,2.09
105,29.23,2.62
106,26.56,4.73
107,27.06,2.39
108,26.36,2.47
109,29.59,2.16
110,28.18,1.03
111,28.38,2.2
112,26.46,2.28
113,27.4,5.96
114,28.11,2.06
115,31.9,2.51
116,28.07,2.19
117,27.89,1.39
118,27.0,3.52
119,25.77,3.01
120,26.67,3.05
121,27.76,1.55
122,26.57,3.9
123,27.59,1.27
124,28.32,2.81
125,17.75,5.35
126,25.94,1.5
127,25.85,1.77
128,28.13,2.32
129,26.23,1.82
130,26.69,1.2
131,26.35,2.29
132,26.96,1.46
133,27.13,2.69
134,27.34,1.54
135,26.73,4.14
136,28.42,1.63
137,25.76,1.96
138,26.05,3.08
139,27.69,1.36
140,27.66,2.44
141,27.02,3.75
142,26.49,1.17
143,29.18,2.4
144,30.29,2.47
145,26.83,3.04
146,28.11,1.36
147,26.47,1.31
148,26.85,2.74
149,27.72,2.51
150,28.32,2.46
151,25.76,2.56
152,25.94,1.7
153,26.77,2.44
154,26.65,2.5
155,26.7,1.67
156,26.52,4.69
157,26.07,2.69
158,27.62,1.38
159,27.18,2.89
160,28.74,1.51
161,26.7,3.05
162,25.77,3.54
163,26.88,1.6
164,27.21,3.27
165,28.44,2.63
166,26.24,3.09
167,26.71,4.75
168,26.71,2.02
169,76.54,1.65
170,26.87,1.56
171,26.76,1.61
172,27.7,2.16
173,27.06,2.55
174,28.38,2.49
175,28.66,3.1
176,27.87,2.24
177,27.04,3.98
178,26.85,2.0
179,27.17,6.61
180,26.76,2.86
181,28.46,1.58
182,26.79,1.45
183,28.08,2.7
184,26.55,2.04
185,27.47,2.96
186,29.52,2.69
187,26.53,2.16
188,26.08,1.59
189,28.15,1.21
190,27.13,1.86
191,26.51,3.13
192,26.84,2.42
193,26.63,1.35
194,28.11,2.39
195,27.43,2.6
196,27.67,1.56
197,26.32,2.37
198,31.17,2.28
199,28.82,1.41
200,28.6,2.57
201,28.57,2.79
202,28.89,3.43
203,27.01,3.39
204,26.72,1.28
205,27.63,1.53
206,27.49,2.73
207,27.47,2.73
208,26.04,2.73
209,25.9,10.39
210,26.82,2.8
211,27.87,3.51
212,27.15,3.26
213,25.94,2.89
214,26.48,1.96
215,26.46,3.01
216,28.27,1.63
217,26.39,2.02
218,27.46,1.83
219,27.41,2.3
220,28.61,5.62
221,26.37,1.05
222,26.06,2.93
223,27.81,1.17
224,26.58,1.84
225,28.17,3.44
226,27.76,2.28
227,25.67,1.45
228,27.43,1.67
229,28.21,2.92
