sample_index,elapsed_hours,ram_mb,cpu_percent,ram_linear_trend_mb
0,0.0,2428.64,6.3,2439.92
1,0.25,2429.11,0.5,2439.92
2,0.5,2429.82,0.2,2439.92
3,0.75,2432.78,1.8,2439.92
4,1.0,2433.27,0.4,2439.91
5,1.25,2433.77,0.3,2439.91
6,1.5,2434.26,0.2,2439.91
7,1.75,2434.5,0.4,2439.91
8,2.0,2434.75,0.2,2439.91
9,2.25,2436.51,0.2,2439.9
10,2.5,2437.22,0.2,2439.9
11,2.75,2436.52,0.1,2439.9
12,3.0,2436.76,0.2,2439.9
13,3.25,2437.25,1.0,2439.89
14,3.5,2437.5,0.4,2439.89
15,3.75,2438.35,1.6,2439.89
16,4.0,2439.09,0.5,2439.89
17,4.25,2439.34,0.1,2439.88
18,4.5,2440.05,0.2,2439.88
19,4.75,2440.29,0.1,2439.88
20,5.0,2440.05,0.2,2439.88
21,5.25,2440.3,0.2,2439.88
22,5.5,2440.79,0.2,2439.87
23,5.75,2441.54,2.6,2439.87
24,6.0,2441.76,0.2,2439.87
25,6.25,2441.86,0.2,2439.87
26,6.5,2444.92,1.0,2439.86
27,6.75,2445.65,7.2,2439.86
28,7.0,2491.26,3.1,2439.86
29,7.25,2441.33,0.4,2439.86
30,7.5,2441.56,0.2,2439.85
31,7.75,2441.55,0.6,2439.85
32,8.0,2441.78,0.1,2439.85
33,8.25,2442.26,0.9,2439.85
34,8.5,2442.94,0.4,2439.85
35,8.75,2443.54,0.2,2439.84
36,9.0,2443.29,0.2,2439.84
37,9.25,2444.01,0.2,2439.84
38,9.5,2444.23,0.2,2439.84
39,9.75,2444.47,0.2,2439.83
40,10.0,2444.21,0.1,2439.83
41,10.25,2444.44,0.2,2439.83
42,10.5,2444.75,0.2,2439.83
43,10.75,2440.43,4.7,2439.83
44,11.0,2440.42,0.2,2439.82
45,11.25,2441.03,0.1,2439.82
46,11.5,2441.26,0.2,2439.82
47,11.75,2441.26,0.2,2439.82
48,12.0,2441.48,0.2,2439.81
49,12.25,2441.84,0.2,2439.81
50,12.5,2440.6,0.1,2439.81
51,12.75,2440.97,0.3,2439.81
52,13.0,2440.95,0.2,2439.8
53,13.25,2439.49,0.7,2439.8
54,13.5,2439.34,0.2,2439.8
55,13.75,2439.57,0.2,2439.8
56,14.0,2440.57,1.0,2439.8
57,14.25,2440.82,0.3,2439.79
58,14.5,2441.29,0.2,2439.79
59,14.75,2441.73,0.3,2439.79
60,15.0,2442.21,0.3,2439.79
61,15.25,2442.67,0.1,2439.78
62,15.5,2442.42,0.1,2439.78
63,15.75,2441.9,0.7,2439.78
64,16.0,2442.35,0.1,2439.78
65,16.25,2442.33,0.2,2439.77
66,16.5,2442.07,0.2,2439.77
67,16.75,2442.52,0.2,2439.77
68,17.0,2442.98,0.2,2439.77
69,17.25,2444.19,0.2,2439.77
